date_shipped,from_zipcode,to_zipcode,total_animals,tau_hours
06/02/2021,92822,91446,5,5.65
06/02/2021,66429,52894,2,8.18
06/02/2021,68566,61167,12,14.3
06/02/2021,37531,79036,6,20.05
06/02/2021,55337,55598,9,6.28
06/02/2021,76107,40285,4,23.75
06/02/2021,62185,61097,6,5.52
06/02/2021,78445,76880,20,3.78
06/02/2021,78445,79109,7,5.69
06/02/2021,79853,76107,28,3.64
06/02/2021,79853,76107,15,3.64
06/02/2021,55337,55588,9,4.93
06/02/2021,45597,73936,57,17.46
06/02/2021,94295,94039,15,6.98
06/02/2021,37531,30930,5,8.54
06/02/2021,53679,54971,52,3.06
06/02/2021,98235,99208,81,4.31
06/02/2021,55588,56256,10,6.19
06/02/2021,64177,65865,6,3.36
06/02/2021,75648,28898,34,24.0
06/02/2021,76107,79866,13,3.83
06/02/2021,67026,67273,13,5.44
06/02/2021,94390,91446,15,4.41
06/02/2021,67994,53679,13,12.93
06/02/2021,68513,68566,25,2.87
06/02/2021,59090,59053,1,4.42
06/02/2021,24316,22010,11,7.08
06/02/2021,83545,83898,2,6.5
06/03/2021,30930,46853,31,14.66
06/03/2021,59127,59901,168,3.56
06/03/2021,18330,19001,159,2.48
06/03/2021,52098,53679,12,7.19
06/03/2021,80891,80769,3,5.67
06/03/2021,77826,63899,32,11.3
06/03/2021,80955,81147,10,5.01
06/03/2021,51820,52894,29,2.87
06/03/2021,92822,92834,47,3.78
06/03/2021,41193,40683,2,8.18
06/03/2021,30964,30930,6,3.79
06/03/2021,18330,17829,1,2.94
06/03/2021,59127,83545,6,7.91
06/03/2021,91526,97808,14,12.27
06/03/2021,58039,98272,167,21.2
06/03/2021,53679,24529,3,17.63
06/03/2021,94295,91445,5,4.22
06/03/2021,67026,79853,3,13.4
06/03/2021,92480,91446,1,3.56
06/03/2021,40175,30964,4,7.74
06/03/2021,74917,40285,48,16.0
06/03/2021,22010,24126,55,4.27
06/03/2021,97479,90999,7,9.58
06/03/2021,77439,73039,6,9.37
06/03/2021,53679,52245,12,8.27
06/03/2021,58617,56495,10,7.03
06/03/2021,17829,16988,2,3.02
06/03/2021,37531,76107,3,20.16
06/03/2021,79036,76380,7,2.68
06/03/2021,53477,55337,15,6.26
06/03/2021,57325,48029,21,17.52
06/03/2021,97808,97479,5,3.27
06/03/2021,85305,86081,39,8.55
06/03/2021,67690,48560,13,13.81
06/03/2021,90967,91446,15,4.28
06/03/2021,33361,30930,10,10.72
06/03/2021,46246,47051,15,4.75
06/03/2021,52514,52377,3,2.79
06/03/2021,80798,81463,1,2.96
06/03/2021,79104,40285,163,24.0
06/03/2021,76107,77826,13,3.89
06/03/2021,34450,79104,6,22.88
06/03/2021,67189,63414,22,9.0
06/03/2021,53679,54596,14,4.74
06/03/2021,53679,54971,1,3.06
06/03/2021,79109,74933,5,10.26
06/03/2021,94553,92535,15,2.16
06/03/2021,41193,40285,15,13.06
06/03/2021,85305,85052,8,4.93
06/03/2021,95726,59053,12,17.61
06/03/2021,73049,28199,14,18.45
06/03/2021,68596,68529,13,3.97
06/03/2021,41147,40285,20,5.98
06/03/2021,53254,57721,11,8.97
06/03/2021,79109,55337,11,24.0
06/03/2021,46117,47748,5,4.8
06/04/2021,53477,53679,10,4.91
06/04/2021,30964,37956,13,3.76
06/04/2021,94553,92834,2,2.94
06/04/2021,77826,76107,12,3.89
06/04/2021,16988,17829,4,3.02
06/04/2021,46117,46853,6,6.94
06/04/2021,52377,76107,14,17.01
06/04/2021,37531,30930,14,8.54
06/04/2021,83574,83698,11,3.08
06/04/2021,61213,61272,10,3.85
06/04/2021,57721,53679,1,9.6
06/04/2021,57432,22010,131,24.0
06/04/2021,75292,76107,54,3.42
06/04/2021,97627,97183,6,5.85
06/04/2021,52245,52514,12,3.53
06/04/2021,97627,97479,41,5.26
06/04/2021,52730,46117,13,8.85
06/04/2021,28255,28841,18,6.04
06/04/2021,95726,90357,33,3.18
06/04/2021,22339,22010,7,5.07
06/04/2021,85305,85712,4,5.61
06/04/2021,75648,78718,8,5.21
06/04/2021,30964,30930,2,3.79
06/04/2021,30930,74933,7,14.97
06/04/2021,86081,85052,9,5.84
06/04/2021,18330,16988,1,2.64
06/04/2021,57721,57580,64,8.25
06/04/2021,97808,97627,6,4.84
06/04/2021,51345,52294,6,6.65
06/04/2021,85052,85305,9,4.93
06/04/2021,67888,53477,28,13.01
06/04/2021,92834,92679,15,3.25
06/04/2021,31100,30964,4,6.35
06/04/2021,55337,55179,6,3.53
06/04/2021,91524,92682,9,8.4
06/04/2021,37531,37109,14,4.0
06/04/2021,83545,69005,175,18.82
06/04/2021,55606,56510,4,3.83
06/04/2021,34450,37531,9,14.66
06/04/2021,52245,52894,2,3.18
06/04/2021,30964,76880,9,17.34
06/04/2021,97172,97627,4,3.48
06/04/2021,40285,42612,2,5.95
06/04/2021,30964,31100,12,6.35
06/04/2021,93239,94039,2,6.03
06/04/2021,40285,28841,10,12.21
06/04/2021,58339,67690,35,15.12
06/04/2021,53941,53324,12,5.97
06/04/2021,55337,55588,1,4.93
06/04/2021,51820,54936,6,5.24
06/04/2021,54596,53679,13,4.74
06/04/2021,90967,94039,1,7.28
06/04/2021,56123,48578,3,12.34
06/04/2021,94553,95726,13,3.51
06/04/2021,53679,23569,3,16.88
06/04/2021,16988,17829,108,3.02
06/04/2021,16988,18330,7,2.64
06/04/2021,94039,91605,11,6.35
06/04/2021,53935,49697,22,6.17
06/04/2021,37531,38009,11,6.32
06/04/2021,30964,74933,8,14.76
06/04/2021,57627,57026,9,5.35
06/04/2021,33185,30964,10,11.12
06/04/2021,58656,57432,16,5.72
06/04/2021,90967,91445,40,4.25
06/04/2021,79557,76107,8,3.39
06/04/2021,91446,90167,14,5.93
06/05/2021,68620,68566,6,4.42
06/05/2021,45228,43122,4,3.3
06/05/2021,54212,52245,9,7.6
06/05/2021,53679,54943,1,3.71
06/05/2021,30964,31994,4,5.08
06/05/2021,57721,57432,6,6.38
06/05/2021,66062,67888,7,4.74
06/05/2021,54401,56495,164,8.53
06/05/2021,55588,55208,3,6.09
06/05/2021,98901,59053,1,10.23
06/05/2021,63294,64335,15,4.63
06/05/2021,77877,73049,8,12.06
06/05/2021,30964,97808,4,24.0
06/05/2021,27694,28841,129,5.5
06/05/2021,47794,53679,11,9.81
06/05/2021,97923,97479,13,2.22
06/05/2021,58039,55588,1,8.56
06/05/2021,49591,49349,23,5.39
06/05/2021,67888,66555,175,5.55
06/05/2021,67888,67026,8,6.19
06/05/2021,49591,48939,29,4.04
06/05/2021,22010,24316,50,7.08
06/05/2021,79487,28841,7,24.0
06/05/2021,91445,94552,9,6.03
06/05/2021,55588,50871,5,10.0
06/05/2021,27694,28841,11,5.5
06/05/2021,92462,91446,62,5.21
06/05/2021,85358,85319,5,2.81
06/05/2021,55208,56510,53,5.18
06/05/2021,58039,58856,125,2.93
06/05/2021,98272,98351,6,2.6
06/05/2021,67433,67690,7,3.19
06/05/2021,27694,28898,55,6.08
06/05/2021,78445,76380,14,3.26
06/05/2021,74133,73049,35,4.15
06/05/2021,67026,67888,6,6.19
06/05/2021,51704,56510,5,7.41
06/05/2021,90621,95726,8,5.32
06/05/2021,38533,37531,11,4.62
06/05/2021,33361,34613,10,3.83
06/05/2021,30964,30930,4,3.79
06/05/2021,61167,61371,9,3.52
06/06/2021,45228,52730,13,15.45
06/06/2021,52344,52411,2,6.6
06/06/2021,27694,76107,2,24.0
06/06/2021,83545,83392,3,3.43
06/06/2021,30964,31100,12,6.35
06/06/2021,53679,54810,14,3.61
06/06/2021,97432,97627,3,6.69
06/06/2021,58648,11353,1,24.0
06/06/2021,68566,68015,7,4.6
06/06/2021,51345,68566,14,9.05
06/06/2021,85052,85712,26,5.91
06/06/2021,73021,76107,6,6.32
06/06/2021,48404,51613,14,11.35
06/06/2021,97172,97627,14,3.48
06/06/2021,65319,53679,5,12.24
06/06/2021,83392,83545,115,3.43
06/06/2021,83545,60202,2,24.0
06/06/2021,95784,94295,6,3.29
06/06/2021,67026,67453,58,4.95
06/06/2021,81245,80790,5,3.85
06/06/2021,30964,31771,6,6.48
06/06/2021,92822,53332,19,24.0
06/06/2021,28841,27694,13,5.5
06/06/2021,38533,62185,2,9.67
06/06/2021,81686,80769,37,5.17
06/06/2021,78718,79853,5,3.57
06/06/2021,98272,57432,6,20.94
06/06/2021,64435,67888,43,6.07
06/06/2021,18483,16988,11,4.15
06/06/2021,52245,55588,2,5.65
06/06/2021,91445,92679,11,6.66
06/06/2021,59090,59053,9,4.42
06/06/2021,85052,85305,6,4.93
06/06/2021,52245,52730,2,5.06
06/06/2021,38009,78718,14,16.63
06/06/2021,16988,15877,4,3.88
06/06/2021,86274,52514,14,23.39
06/06/2021,73936,74917,5,3.26
06/06/2021,83545,90967,5,16.84
06/06/2021,85052,85305,29,4.93
06/06/2021,46380,47748,8,3.45
06/06/2021,90967,94039,9,7.28
06/06/2021,60290,51345,3,6.59
06/06/2021,55422,44777,10,18.87
06/06/2021,37531,74693,10,12.9
06/06/2021,76880,81151,8,15.94
06/06/2021,52227,57721,11,7.62
06/06/2021,79853,76107,42,3.64
06/06/2021,34613,55588,36,24.0
06/06/2021,97479,97823,2,4.56
06/06/2021,53477,68596,3,11.13
06/06/2021,55588,53679,6,8.71
06/06/2021,67888,68827,5,5.93
06/06/2021,77826,76380,42,4.38
06/06/2021,66950,67558,45,4.25
06/06/2021,90967,92834,8,6.63
06/06/2021,58039,80769,3,15.42
06/06/2021,59053,85305,3,14.08
06/07/2021,97479,83545,15,8.14
06/07/2021,57721,57580,11,8.25
06/07/2021,30964,30930,13,3.79
06/07/2021,63033,51345,6,4.76
06/07/2021,92679,92462,11,3.08
06/07/2021,43122,51345,3,16.85
06/07/2021,34450,32577,13,4.48
06/07/2021,55208,40285,1,16.18
06/07/2021,77877,76880,12,5.26
06/07/2021,92936,94039,1,7.91
06/07/2021,63743,63338,1,7.56
06/07/2021,53935,53679,163,3.88
06/07/2021,67580,52730,41,4.03
06/07/2021,76107,79104,119,6.11
06/07/2021,55454,56510,11,4.4
06/07/2021,24526,22010,11,2.42
06/07/2021,47051,55208,2,16.45
06/07/2021,68737,68596,46,4.17
06/07/2021,22010,62185,45,13.11
06/07/2021,52344,52514,1,5.84
06/07/2021,40285,74947,13,21.15
06/07/2021,51345,52245,13,4.73
06/07/2021,77702,79853,8,6.34
06/07/2021,62185,61111,14,4.3
06/07/2021,44777,45228,58,3.57
06/07/2021,55588,56495,12,3.85
06/07/2021,43122,83322,59,24.0
06/07/2021,48939,49591,5,4.04
06/07/2021,57109,57432,15,4.19
06/07/2021,76725,30964,10,16.76
06/07/2021,31100,30964,13,6.35
06/07/2021,90967,91445,10,4.25
06/07/2021,65220,65319,13,8.27
06/07/2021,85305,85052,56,4.93
06/07/2021,46117,64096,13,7.85
06/07/2021,90357,90967,11,4.69
06/07/2021,40285,42640,15,5.99
06/07/2021,98762,99208,5,4.12
06/07/2021,53679,66062,7,17.08
06/07/2021,68596,77826,21,14.68
06/07/2021,98235,98272,4,2.91
06/07/2021,68596,57434,6,5.19
06/07/2021,55337,56510,15,4.4
06/07/2021,61523,68920,15,15.62
06/07/2021,57721,57432,3,6.38
06/07/2021,53477,54195,3,4.2
06/07/2021,95135,92834,12,4.41
06/08/2021,97172,97479,14,4.08
06/08/2021,51621,56495,12,5.14
06/08/2021,41147,42612,4,5.27
06/08/2021,77826,76107,15,3.89
06/08/2021,28798,76107,41,24.0
06/08/2021,76107,78779,13,3.18
06/08/2021,28841,27050,2,6.68
06/08/2021,53254,54971,15,2.64
06/08/2021,83545,90967,13,16.84
06/08/2021,76107,77826,14,3.89
06/08/2021,91605,91446,53,3.32
06/08/2021,56479,57627,37,6.99
06/08/2021,30964,31100,6,6.35
06/08/2021,37247,37531,12,3.62
06/08/2021,40285,54971,6,9.0
06/08/2021,41480,40285,5,5.75
06/08/2021,68566,68873,37,3.49
06/08/2021,45228,49697,3,10.86
06/08/2021,92679,97627,28,12.07
06/08/2021,52800,52245,17,5.27
06/08/2021,55337,55588,11,4.93
06/08/2021,83545,83392,8,3.43
06/08/2021,83545,83322,14,3.47
06/08/2021,92679,92834,6,3.25
06/08/2021,57432,57721,37,6.38
06/08/2021,83545,83392,31,3.43
06/08/2021,48155,49986,26,3.63
06/08/2021,56510,55337,5,4.4
06/08/2021,97627,97479,9,5.26
06/08/2021,78718,14142,6,24.0
06/08/2021,58339,58039,15,3.42
06/08/2021,54795,54992,6,7.29
06/08/2021,83322,83545,7,3.47
06/08/2021,95726,92834,15,3.98
06/08/2021,57721,55337,10,4.53
06/08/2021,80007,80769,19,7.57
06/08/2021,77826,64900,10,11.4
06/08/2021,16988,18330,68,2.64
06/08/2021,80769,51644,8,16.56
06/08/2021,53679,53477,59,4.91
06/08/2021,42640,40285,9,5.99
06/08/2021,76107,76725,3,2.65
06/08/2021,97627,83434,156,10.94
06/08/2021,83545,92679,100,13.95
06/08/2021,97432,79853,15,24.0
06/08/2021,98272,54331,12,24.0
06/08/2021,83545,53477,2,24.0
06/08/2021,76107,53679,13,22.96
06/08/2021,77439,54971,34,21.15
06/08/2021,31100,33361,12,11.42
06/08/2021,68566,69005,1,5.09
06/08/2021,79853,76380,2,3.41
06/08/2021,73049,74693,2,5.48
06/08/2021,74933,74693,4,4.54
06/08/2021,97479,97627,4,5.26
06/08/2021,34613,52294,8,24.0
06/08/2021,55337,55588,54,4.93
06/08/2021,61964,62185,3,3.0
06/08/2021,57721,57432,15,6.38
06/08/2021,55588,55337,15,4.93
06/08/2021,91605,97627,14,12.15
06/08/2021,55179,55422,10,4.52
06/08/2021,28841,28898,1,8.77
06/09/2021,55588,30964,39,21.53
06/09/2021,34613,32577,10,4.39
06/09/2021,77826,76880,8,4.51
06/09/2021,69005,68206,12,4.05
06/09/2021,49697,48964,8,5.68
06/09/2021,54971,53941,15,3.55
06/09/2021,83392,48114,5,24.0
06/09/2021,52730,57043,15,14.85
06/09/2021,97959,97627,2,6.7
06/09/2021,58075,68216,101,12.21
06/09/2021,52294,52730,7,6.9
06/09/2021,48155,53324,10,4.95
06/09/2021,55337,57159,9,8.57
06/09/2021,66062,67994,52,6.2
06/09/2021,75980,77122,3,8.2
06/09/2021,53679,54734,94,4.99
06/09/2021,37531,28255,70,9.57
06/09/2021,77826,76880,155,4.51
06/09/2021,34613,79853,34,23.62
06/09/2021,91748,90967,13,8.45
06/09/2021,66350,66552,1,8.74
06/09/2021,83545,40683,1,24.0
06/09/2021,97627,97251,12,6.49
06/09/2021,37531,38036,149,6.15
06/09/2021,43122,45228,5,3.3
06/09/2021,52245,57721,6,6.81
06/09/2021,59053,59090,7,4.42
06/09/2021,58843,51589,2,12.36
06/09/2021,83545,83392,3,3.43
06/09/2021,54331,57627,5,12.22
06/09/2021,41147,30930,15,9.34
06/09/2021,61213,51028,7,7.39
06/09/2021,28841,27694,2,5.5
06/09/2021,49879,52377,9,14.94
06/09/2021,55337,55179,7,3.53
06/09/2021,54795,54596,1,7.19
06/09/2021,91445,92834,33,7.45
06/09/2021,48404,48939,3,2.78
06/09/2021,69005,54331,9,9.18
06/09/2021,19686,38007,8,14.3
06/09/2021,76880,77839,6,2.72
06/09/2021,76612,34613,13,23.6
06/09/2021,66220,50505,3,12.98
06/09/2021,92834,79557,2,24.0
06/09/2021,34450,40285,8,18.3
06/09/2021,48560,48286,41,4.69
06/09/2021,40175,53679,3,12.96
06/09/2021,31100,45480,4,8.12
06/09/2021,56495,55337,12,3.37
06/09/2021,51345,62185,13,6.55
06/09/2021,54795,53679,12,5.78
06/09/2021,66350,66221,3,6.83
06/09/2021,52245,52514,1,3.53
06/09/2021,90757,83618,6,11.86
06/09/2021,66257,67189,32,4.03
06/09/2021,79713,78955,49,4.36
06/09/2021,76380,79853,1,3.41
06/09/2021,57671,57432,12,5.17
06/09/2021,51345,52227,8,4.96
06/09/2021,38080,76880,137,16.36
06/09/2021,66221,55337,1,13.86
06/09/2021,53941,54795,13,7.12
06/10/2021,51345,52730,152,4.2
06/10/2021,67026,67278,9,7.86
06/10/2021,30930,30964,8,3.79
06/10/2021,69005,68566,9,5.09
06/10/2021,53254,54401,6,3.74
06/10/2021,16988,53679,2,14.67
06/10/2021,97627,97172,7,3.48
06/10/2021,55337,56510,6,4.4
06/10/2021,55890,55337,11,4.15
06/10/2021,66220,66552,2,2.8
06/10/2021,99361,83545,6,9.69
06/10/2021,67026,51375,2,9.85
06/10/2021,55337,56495,45,3.37
06/10/2021,30964,30930,22,3.79
06/10/2021,85052,85319,45,4.3
06/10/2021,83545,83392,14,3.43
06/10/2021,58856,58039,3,2.93
06/10/2021,99142,99279,20,4.31
06/10/2021,94553,94039,2,4.53
06/10/2021,80404,80803,9,4.43
06/10/2021,80790,80803,3,4.83
06/10/2021,16988,16237,9,4.95
06/10/2021,77193,77826,1,7.73
06/10/2021,30964,33367,8,7.99
06/10/2021,55337,55208,6,3.36
06/10/2021,44777,43122,3,2.64
06/10/2021,92866,94553,1,4.95
06/10/2021,90967,92834,10,6.63
06/10/2021,45597,43122,9,3.53
06/10/2021,77193,76880,11,7.23
06/10/2021,85476,40285,48,24.0
06/10/2021,53679,40285,6,8.6
06/10/2021,52294,51345,165,6.65
06/10/2021,30964,49697,5,20.24
06/10/2021,68596,45228,177,22.16
06/10/2021,53679,52730,7,9.67
06/10/2021,67888,53679,15,14.82
06/10/2021,55337,55208,52,3.36
06/10/2021,83545,83434,8,2.91
06/10/2021,49879,67888,47,19.99
06/10/2021,55588,92834,63,24.0
06/10/2021,30964,79853,11,15.53
06/10/2021,19686,10050,13,9.04
06/10/2021,77826,76612,1,5.89
06/10/2021,91605,92679,12,4.84
06/10/2021,67631,66950,172,2.83
06/10/2021,52245,30964,13,17.97
06/10/2021,68827,68566,8,6.3
06/10/2021,40285,45228,6,5.73
06/10/2021,17829,16988,1,3.02
06/10/2021,91446,97172,14,10.77
06/11/2021,90967,94039,17,7.28
06/11/2021,59127,59090,15,5.91
06/11/2021,76880,77826,13,4.51
06/11/2021,57432,57721,53,6.38
06/11/2021,56495,55337,1,3.37
06/11/2021,66062,67278,3,5.22
06/11/2021,98235,98901,1,5.84
06/11/2021,16237,68566,10,24.0
06/11/2021,30964,31994,5,5.08
06/11/2021,79713,76107,9,4.3
06/11/2021,45597,51820,11,14.07
06/11/2021,49591,48155,9,4.96
06/11/2021,85052,86081,7,5.84
06/11/2021,53278,53679,31,7.85
06/11/2021,57432,57721,13,6.38
06/11/2021,30964,31100,4,6.35
06/11/2021,55588,10087,138,23.51
06/11/2021,75507,77826,76,6.13
06/11/2021,18330,17829,22,2.94
06/11/2021,75980,78718,9,7.32
06/11/2021,52294,52245,13,3.97
06/11/2021,95726,92834,4,3.98
06/11/2021,90967,92679,5,6.36
06/11/2021,34450,33361,3,3.91
06/11/2021,10050,14795,8,3.28
06/11/2021,80790,49591,10,19.65
06/11/2021,53941,52236,4,6.72
06/11/2021,80803,80092,2,3.73
06/11/2021,47051,46853,5,6.82
06/11/2021,55588,68566,12,9.32
06/11/2021,16451,17829,11,4.93
06/11/2021,55208,55337,12,3.36
06/11/2021,40285,27050,4,11.61
06/11/2021,56495,55588,94,3.85
06/11/2021,48404,58039,8,17.04
06/11/2021,73936,74933,15,3.85
06/11/2021,37531,38009,11,6.32
06/11/2021,79713,76655,11,2.65
06/11/2021,83392,83574,5,2.62
06/11/2021,37531,37109,9,4.0
06/11/2021,48286,30964,1,18.26
06/11/2021,68596,68737,4,4.17
06/11/2021,52245,51345,15,4.73
06/11/2021,45228,43122,7,3.3
06/11/2021,58656,55588,10,9.74
06/11/2021,68566,68596,15,4.14
06/11/2021,77826,76107,6,3.89
06/11/2021,65558,55337,3,15.66
06/11/2021,73966,74933,3,5.62
06/11/2021,58856,58648,35,4.25
06/11/2021,40285,41147,2,5.98
06/11/2021,55337,56495,149,3.37
06/11/2021,53647,56510,11,6.25
06/11/2021,62185,61215,13,9.03
06/11/2021,49697,48029,1,4.94
06/11/2021,49591,54596,5,6.02
06/11/2021,57721,57432,85,6.38
06/11/2021,34534,52245,3,24.0
06/11/2021,97479,97808,11,3.27
06/11/2021,59090,59053,58,4.42
06/11/2021,53647,53477,10,9.01
06/11/2021,94553,92834,9,2.94
06/11/2021,73049,74917,49,5.42
06/11/2021,98272,98593,14,3.05
06/11/2021,57627,57109,14,5.49
06/11/2021,68737,68566,5,4.37
06/11/2021,79853,79881,3,8.48
06/11/2021,40520,40285,58,6.35
06/11/2021,30964,53679,1,18.68
06/11/2021,30964,37531,8,10.22
06/11/2021,68566,68596,9,4.14
06/11/2021,45228,64900,122,18.34
06/11/2021,68609,68566,9,6.86
06/11/2021,78955,78196,38,9.72
06/11/2021,33367,51345,7,22.97
06/12/2021,52227,51613,5,4.54
06/12/2021,63899,64900,11,5.25
06/12/2021,17829,18330,42,2.94
06/12/2021,80007,81272,15,9.86
06/12/2021,65483,56495,100,13.96
06/12/2021,90967,91446,6,4.28
06/12/2021,53679,54971,12,3.06
06/12/2021,76880,75376,4,2.92
06/12/2021,55337,55588,5,4.93
06/12/2021,48029,30964,7,17.31
06/12/2021,53679,38533,6,13.17
06/12/2021,57721,68827,11,10.78
06/12/2021,52377,51345,3,4.13
06/12/2021,23516,24316,2,3.35
06/12/2021,68737,68596,60,4.17
06/12/2021,37531,40285,14,6.45
06/12/2021,83392,83545,77,3.43
06/12/2021,69359,69227,5,5.21
06/12/2021,37531,38540,1,6.82
06/12/2021,41193,37531,1,8.62
06/12/2021,40285,40638,6,8.83
06/12/2021,85052,85583,36,4.56
06/12/2021,31100,30964,59,6.35
06/12/2021,68015,55422,11,12.69
06/12/2021,53679,23012,11,17.42
06/12/2021,37531,30930,13,8.54
06/12/2021,76556,78718,5,5.14
06/12/2021,37531,38290,58,7.4
06/12/2021,65037,17829,3,20.67
06/12/2021,30964,76107,37,17.17
06/12/2021,76891,77826,9,4.71
06/12/2021,55588,56495,4,3.85
06/12/2021,38533,37531,14,4.62
06/12/2021,53477,54971,5,4.13
06/12/2021,97479,93239,11,13.46
06/12/2021,41193,76380,6,14.09
06/12/2021,18330,16988,11,2.64
06/12/2021,56495,67026,7,11.1
06/12/2021,63033,64667,4,5.59
06/12/2021,40683,40285,2,7.01
06/12/2021,53679,30930,23,17.21
06/12/2021,73021,76107,3,6.32
06/12/2021,52730,52514,6,4.9
06/12/2021,51820,51345,4,6.57
06/12/2021,79522,37531,11,22.26
06/12/2021,37531,38370,8,6.59
06/12/2021,67026,67888,4,6.19
06/12/2021,90967,94553,2,6.77
06/12/2021,74753,73936,44,4.72
06/12/2021,57721,46797,2,16.41
06/12/2021,37531,30930,37,8.54
06/12/2021,49591,49697,6,5.56
06/12/2021,51345,51163,7,4.5
06/12/2021,16988,49697,7,11.86
06/12/2021,79104,79853,11,6.87
06/12/2021,74198,97172,7,24.0
06/12/2021,24526,31575,15,4.05
06/12/2021,66220,67189,5,2.55
06/12/2021,66350,52730,138,8.59
06/13/2021,73049,74917,10,5.42
06/13/2021,77877,57109,159,23.65
06/13/2021,55208,67026,12,13.1
06/13/2021,76107,48873,1,23.91
06/13/2021,97479,97808,47,3.27
06/13/2021,40285,41147,54,5.98
06/13/2021,62185,61097,8,5.52
06/13/2021,52245,51820,87,3.88
06/13/2021,55337,56256,43,5.55
06/13/2021,46853,46117,8,6.94
06/13/2021,63033,53679,7,11.17
06/13/2021,30964,30398,2,7.0
06/13/2021,53679,56345,7,7.54
06/13/2021,92866,91446,6,7.2
06/13/2021,85884,86081,9,4.51
06/13/2021,68015,68737,11,6.84
06/13/2021,37531,37956,7,11.88
06/13/2021,68566,68596,9,4.14
06/13/2021,98351,98272,3,2.6
06/13/2021,52245,51345,50,4.73
06/13/2021,66429,66224,1,2.83
06/13/2021,79853,79557,3,3.65
06/13/2021,74933,76380,9,8.45
06/13/2021,68529,58039,2,12.57
06/13/2021,90066,97627,10,15.54
06/13/2021,54971,53941,13,3.55
06/13/2021,48964,49697,4,5.68
06/13/2021,76880,68596,14,16.59
06/13/2021,66221,66062,35,4.33
06/13/2021,18483,19686,67,3.5
06/13/2021,85052,86488,3,4.2
06/13/2021,55337,56495,2,3.37
06/13/2021,75648,74133,6,8.25
06/13/2021,76107,78718,13,4.36
06/13/2021,54466,53679,9,3.19
06/13/2021,37531,38443,4,4.64
06/13/2021,53679,53324,13,5.01
06/13/2021,76655,77940,1,3.89
06/13/2021,99142,98235,15,3.22
06/13/2021,75788,76107,14,4.57
06/13/2021,74933,55588,7,14.78
06/14/2021,66555,66221,10,7.65
06/14/2021,91605,90967,24,3.59
06/14/2021,51382,57721,8,3.92
06/14/2021,52730,55337,32,11.22
06/14/2021,48404,49697,8,3.26
06/14/2021,53324,54971,7,6.04
06/14/2021,55422,55208,29,4.97
06/14/2021,53679,64900,45,12.41
06/14/2021,48560,68596,12,18.15
06/14/2021,30930,30964,38,3.79
06/14/2021,79853,76880,55,3.99
06/14/2021,94039,53679,15,24.0
06/14/2021,69233,56495,3,8.91
06/14/2021,41147,40285,10,5.98
06/14/2021,37531,60857,7,7.88
06/14/2021,97627,97251,39,6.49
